food,water,kcal,protein,lipid,carb,fiber,ca,fe,mg,p,k,na,zn,cu,vit.c,thiamin,riboflavin,niacin,vit.b6,folate,vit.a,weight
CRANBERRIES,87.32,46,0.46,0.13,11.97,3.6,8,0.23,6,11,80,2,0.09,0.056,14,0.012,0.02,0.101,0.057,1,63,110
CURRANTS,83.95,56,1.4,0.2,13.8,4.3,33,1,13,44,275,1,0.23,0.107,41,0.04,0.05,0.1,0.07,8,42,112
DURIAN,64.99,147,1.47,5.33,27.09,3.8,6,0.43,30,39,436,2,0.28,0.207,19.7,0.374,0.2,1.074,0.316,36,44,243
ELDERBERRIES,79.8,73,0.66,0.5,18.4,7,38,1.6,5,39,280,6,0.11,0.061,36,0.07,0.06,0.5,0.23,6,600,145
FEIJOA,83.28,61,0.71,0.42,15.21,6.4,17,0.14,9,19,172,3,0.06,0.036,32.9,0.006,0.018,0.295,0.067,23,6,243
FIGS,79.11,74,0.75,0.3,19.18,2.9,35,0.37,17,14,232,1,0.15,0.07,2,0.06,0.05,0.4,0.113,6,142,64
GOOSEBERRIES,87.87,44,0.88,0.58,10.18,4.3,25,0.31,10,27,198,1,0.12,0.07,27.7,0.04,0.03,0.3,0.08,6,290,150
GRAPEFRUIT,90.89,32,0.63,0.1,8.08,1.1,12,0.09,8,8,139,0,0.07,0.047,34.4,0.036,0.02,0.25,0.042,10,927,230
GRAPES,81.3,67,0.63,0.35,17.15,0.9,14,0.29,5,10,191,2,0.04,0.04,4,0.092,0.057,0.3,0.11,4,100,92
GUAVAS,80.8,68,2.55,0.95,14.32,5.4,18,0.26,22,40,417,2,0.23,0.23,228.3,0.067,0.04,1.084,0.11,49,624,165
HONEYDEW MELON,89.82,36,0.54,0.14,9.09,0.8,6,0.17,10,11,228,18,0.09,0.024,18,0.038,0.012,0.418,0.088,19,50,170
JACKFRUIT,73.46,95,1.72,0.64,23.25,1.5,24,0.23,29,21,448,2,0.13,0.076,13.7,0.105,0.055,0.92,0.329,24,110,165
KIWIFRUIT,83.07,61,1.14,0.52,14.66,3,34,0.31,17,34,312,3,0.14,0.13,92.7,0.027,0.025,0.341,0.063,25,87,180
KUMQUATS,80.85,71,1.88,0.86,15.9,6.5,62,0.86,20,19,186,10,0.17,0.095,43.9,0.037,0.09,0.429,0.036,17,290,19
LEMONS,88.98,29,1.1,0.3,9.32,2.8,26,0.6,8,16,138,2,0.06,0.037,53,0.04,0.02,0.1,0.08,11,22,212
LIMES,88.26,30,0.7,0.2,10.54,2.8,33,0.6,6,18,102,2,0.11,0.065,29.1,0.03,0.02,0.2,0.043,8,50,67
LITCHIS,81.76,66,0.83,0.44,16.53,1.3,5,0.31,10,31,171,1,0.07,0.148,71.5,0.011,0.065,0.603,0.1,14,0,190
LOQUATS,86.73,47,0.43,0.2,12.14,1.7,16,0.28,13,27,266,1,0.05,0.04,1,0.019,0.024,0.18,0.1,14,1528,149
MAMMY-APPLE,86.2,51,0.5,0.5,12.5,3,11,0.7,16,11,47,15,0.1,0.086,14,0.02,0.04,0.4,0.1,14,230,846
